name,count
john,24724
obama,22626
york,22312
party,19076
national,18530
american,17623
act,17135
george,16810
war,16730
bush,16624
iraq,15767
barack,14840
u.s.,14659
times,13803
department,13389
state,13284
house,13261
university,12285
street,12170
bill,12054
court,11949
republican,11388
security,11002
clinton,10680
wall,10599
california,10508
committee,10297
world,10234
south,9832
america,9607
democratic,9578
supreme,9401
post,9377
center,9361
paul,9305
david,9187
justice,8916
washington,8900
afghanistan,8890
senate,8616
gop,8340
mccain,7824
news,7693
east,7593
united,7458
city,7304
north,7190
robert,7187
reagan,7087
